twitter,name,party,class
@_Adam_Price,Adam Price,Plaid Cymru,#008142
@AlunDaviesAM,Alun Davies,Labour,#dc241f
@AndrewRTDavies,Andrew RT Davies,Conservative,#0087DC
@AngelaBurnsAM,Angela Burns,Conservative,#0087DC
@ann_jonesam,Ann Jones,Labour,#dc241f
@bethanjenkins,Bethan Jenkins,Plaid Cymru,#008142
@Carl4AandD,Carl Sargeant,Labour,#dc241f
@carolineUKIP,Caroline Jones,UKIP,#70147A
@AMCarwyn,Carwyn Jones,Labour,#dc241f
@ElisThomasD,Dafydd Elis-Thomas,Plaid Cymru,#008142
@DaiLloydAM,Dai Lloyd,Plaid Cymru,#008142
@DarrenMillarAM,Darren Millar,Conservative,#0087DC
@DavidRowlandsAM,David Rowlands,UKIP,#70147A
,David Melding,Conservative,#0087DC
@DavidReesAM,David Rees,Labour,#dc241f
@Dawn_Bowden,Dawn Bowden,Labour,#dc241f
@ElinCeredigion,Elin Jones,Plaid Cymru,#008142
@Eluned_Morgan,Eluned Morgan,Labour,#dc241f
@GarethBennettAM,Gareth Bennett,UKIP,#70147A
@hannahblythyn,Hannah Blythyn,Labour,#dc241f
@hef4caerphilly,Hefin David,Labour,#dc241f
@huw4ogmore,Huw Irranca-Davies,Labour,#dc241f
@JaneHutt,Jane Hutt,Labour,#dc241f
@JFinchSaunders,Janet Finch-Saunders,Conservative,#0087DC
@JBryantWales,Jayne Bryant,Labour,#dc241f
@JennyRathbone,Jenny Rathbone,Labour,#dc241f
@Jeremy_Miles,Jeremy Miles,Labour,#dc241f
@JGriffithsLab,John Griffiths,Labour,#dc241f
@JoyceWatsonam,Joyce Watson,Labour,#dc241f
@JulieJamesAM,Julie James,Labour,#dc241f
@JulieMorganLAB,Julie Morgan,Labour,#dc241f
@KenSkatesAM,Ken Skates,Labour,#dc241f
@Kirsty_Williams,Kirsty Williams,Liberal Democrat,#fdbb30
@LeanneWood,Leanne Wood,Plaid Cymru,#008142
@Amanwy,Lee Waters,Labour,#dc241f
@lesley4wrexham,Lesley Griffiths,Labour,#dc241f
@LlyrGruffydd,Llyr Huws Gruffydd,Plaid Cymru,#008142
@lynne_neagle,Lynne Neagle,Labour,#dc241f
@MarkDrakeford,Mark Drakeford,Labour,#dc241f
@MarkIsherwoodAM,Mark Isherwood,Conservative,#0087DC
@MarkReckless,Mark Reckless,UKIP,#70147A
@MishBrownAM,Michelle Brown,UKIP,#70147A
@MickAntoniw1,Mick Antoniw,Labour,#dc241f
@MikeHedgesAM,Mike Hedges,Labour,#dc241f
@MohammadAsghar,Mohammad Asghar,Conservative,#0087DC
@NathanGillMEP,Nathan Gill,UKIP,#70147A
@NeilUKIP,Neil Hamilton,UKIP,#70147A
@neiljmcevoy,Neil McEvoy,Plaid Cymru,#008142
@NickRamsayAM,Nick Ramsay,Conservative,#0087DC
,Paul Davies,Conservative,#0087DC
@RebeccaEvansAM,Rebecca Evans,Labour,#dc241f
@rhi4islwyn,Rhianon Passmore,Labour,#dc241f
@RhunapIorwerth,Rhun Ap Iorwerth,Plaid Cymru,#008142
@russ_george,Russell George,Conservative,#0087DC
@siangwenfelin,Sian Gwenllian,Plaid Cymru,#008142
@SimonThomasAC,Simon Thomas,Plaid Cymru,#008142
@steffanlewis,Steffan Lewis,Plaid Cymru,#008142
@suzydaviesam,Suzy Davies,Conservative,#0087DC
@vaughangething,Vaughan Gething,Labour,#dc241f
@VikkiHowells,Vikki Howells,Labour,#dc241f
